name,lat,lng
Amoy Quee Camp,1.3872763,103.8525793
Bedok Camp I,1.3236038,103.9273405
Bedok Camp II,1.3156886,103.9539721
Clementi Camp,1.3290056,103.7629462
Depot Road Camp,1.2804108,103.8147038
Dieppe Barracks,1.422186,103.823115
Hendon Camp,1.3872954,103.9775778
Jurong Camp I,1.3330499,103.6896039
Jurong Camp II,1.3370576,103.6870935
Kaki Bukit Camp,1.3392712,103.9075421
Keat Hong Camp,1.3736526,103.7166717
Khatib Camp,1.4223482,103.8255919
Mowbray Camp,1.3980047,103.7408516
Kranji Camp II,1.3986967,103.7428661
Kranji Camp III,1.4029368,103.7433012
Maju Camp,1.3290228,103.7747192
Mandai Hill Camp,1.4082149,103.7689883
Nee Soon Camp,1.4054047,103.8172123
Nee Soon Driclad Centre,1.4062996,103.8196156
Pasir Laba Camp,1.3321523,103.67214
Pasir Ris Camp,1.3923648,103.9314839
Rifle Range Road Camp,1.3540264,103.7939384
SAFTI Military Institute,1.3336691,103.6803337
Selarang Camp,1.3716125,103.9752984
Seletar Camp,1.4112806,103.8741768
Sembawang Camp,1.4640265,103.8157676
Stagmont Camp,1.3846823,103.7525865
Sungei Gedong Camp,1.4186492,103.6986844
